FINAL,EXAM3,EXAM2,EXAM1
152.0,75.0,80.0,73.0
185.0,93.0,88.0,93.0
180.0,90.0,91.0,89.0
196.0,100.0,98.0,96.0
142.0,70.0,66.0,73.0
101.0,55.0,46.0,53.0
149.0,77.0,74.0,69.0
115.0,60.0,56.0,47.0
175.0,90.0,79.0,87.0
164.0,88.0,70.0,79.0
141.0,73.0,70.0,69.0
141.0,74.0,65.0,70.0
184.0,91.0,95.0,93.0
152.0,73.0,80.0,79.0
148.0,78.0,73.0,70.0
192.0,96.0,89.0,93.0
147.0,68.0,75.0,78.0
183.0,93.0,90.0,81.0
177.0,86.0,92.0,88.0
159.0,77.0,83.0,78.0
177.0,90.0,86.0,82.0
175.0,89.0,82.0,86.0
175.0,85.0,83.0,78.0
149.0,71.0,83.0,76.0
192.0,95.0,93.0,96.0
